English Unit Abbreviations=Time ( min ),Position ( mm ),Load ( kg ),Zona
Archivo de punto de datos de Partner
Inicio del ensayo Thu 21 Jul 2016 14:50:40
Tiempo ( min ),Posición ( mm ),Carga ( kg ),Zona
0,0,0,Velocidad 1
0.00083,-0.002,-1,Velocidad 1
0.00167,-0.002,-2,Velocidad 1
0.0025,0,-3,Velocidad 1
0.00333,0,-4,Velocidad 1
0.00417,0,-3,Velocidad 1
0.005,-0.001,-2,Velocidad 1
0.00583,-0.001,2,Velocidad 1
0.00667,0.001,4,Velocidad 1
0.0075,-0.001,5,Velocidad 1
0.00833,-0.001,6,Velocidad 1
0.00917,0.002,8,Velocidad 1
0.01,0,11,Velocidad 1
0.01083,0,14,Velocidad 1
0.01167,0.001,16,Velocidad 1
0.0125,0.003,19,Velocidad 1
0.01333,0.002,20,Velocidad 1
0.01417,0.001,22,Velocidad 1
0.015,0.001,24,Velocidad 1
0.01583,0,26,Velocidad 1
0.01667,0.003,28,Velocidad 1
0.0175,0.003,31,Velocidad 1
0.01833,0,32,Velocidad 1
0.01917,0.001,33,Velocidad 1
0.02,0.004,34,Velocidad 1
0.02083,0.002,38,Velocidad 1
0.02167,0.003,40,Velocidad 1
0.0225,0.002,42,Velocidad 1
0.02333,0.001,45,Velocidad 1
0.02417,0.005,48,Velocidad 1
0.025,0.003,52,Velocidad 1
0.02583,0.005,55,Velocidad 1
0.02667,0.004,58,Velocidad 1
0.0275,0.005,62,Velocidad 1
0.02833,0.003,65,Velocidad 1
0.02917,0.005,68,Velocidad 1
0.03,0.005,71,Velocidad 1
0.03083,0.004,73,Velocidad 1
0.03167,0.003,75,Velocidad 1
0.0325,0.005,78,Velocidad 1
0.03333,0.006,81,Velocidad 1
0.03417,0.006,86,Velocidad 1
0.035,0.004,89,Velocidad 1
0.03583,0.005,92,Velocidad 1
0.03667,0.007,95,Velocidad 1
0.0375,0.007,100,Velocidad 1
0.03833,0.006,104,Velocidad 1
0.03917,0.005,106,Velocidad 1
0.04,0.007,108,Velocidad 1
0.04083,0.007,110,Velocidad 1
0.04167,0.008,111,Velocidad 1
0.0425,0.006,114,Velocidad 1
0.04333,0.009,117,Velocidad 1
0.04417,0.007,124,Velocidad 1
0.045,0.007,130,Velocidad 1
0.04583,0.009,134,Velocidad 1
0.04667,0.007,137,Velocidad 1
0.0475,0.007,138,Velocidad 1
0.04833,0.008,139,Velocidad 1
0.04917,0.008,142,Velocidad 1
0.05,0.01,145,Velocidad 1
0.05083,0.008,147,Velocidad 1
0.05167,0.01,148,Velocidad 1
0.0525,0.008,152,Velocidad 1
0.05333,0.008,154,Velocidad 1
0.05417,0.008,156,Velocidad 1
0.055,0.008,157,Velocidad 1
0.05583,0.01,160,Velocidad 1
0.05667,0.011,161,Velocidad 1
0.0575,0.008,161,Velocidad 1
0.05833,0.009,162,Velocidad 1
0.05917,0.009,164,Velocidad 1
0.06,0.011,165,Velocidad 1
0.06083,0.011,168,Velocidad 1
0.06167,0.012,171,Velocidad 1
0.0625,0.012,172,Velocidad 1
0.06333,0.012,173,Velocidad 1
0.06417,0.011,176,Velocidad 1
0.065,0.009,178,Velocidad 1
0.06583,0.012,178,Velocidad 1
0.06667,0.011,181,Velocidad 1
0.0675,0.014,184,Velocidad 1
0.06833,0.013,187,Velocidad 1
0.06917,0.013,188,Velocidad 1
0.07,0.013,190,Velocidad 1
0.07083,0.012,193,Velocidad 1
0.07167,0.012,195,Velocidad 1
0.0725,0.013,198,Velocidad 1
0.07333,0.012,201,Velocidad 1
0.07417,0.012,204,Velocidad 1
0.075,0.013,207,Velocidad 1
0.07583,0.015,209,Velocidad 1
0.07667,0.013,210,Velocidad 1
0.0775,0.016,213,Velocidad 1
0.07833,0.013,215,Velocidad 1
0.07917,0.013,216,Velocidad 1
0.08,0.015,217,Velocidad 1
0.08083,0.016,218,Velocidad 1
0.08167,0.016,221,Velocidad 1
0.0825,0.016,222,Velocidad 1
0.08333,0.014,223,Velocidad 1
0.08417,0.015,225,Velocidad 1
0.085,0.015,228,Velocidad 1
0.08583,0.016,230,Velocidad 1
0.08667,0.016,232,Velocidad 1
0.0875,0.015,233,Velocidad 1
0.08833,0.016,234,Velocidad 1
0.08917,0.018,236,Velocidad 1
0.09,0.019,240,Velocidad 1
0.09083,0.016,242,Velocidad 1
0.09167,0.016,244,Velocidad 1
0.0925,0.016,246,Velocidad 1
0.09333,0.016,247,Velocidad 1
0.09417,0.016,247,Velocidad 1
0.095,0.019,247,Velocidad 1
0.09583,0.017,247,Velocidad 1
0.09667,0.019,249,Velocidad 1
0.0975,0.019,251,Velocidad 1
0.09833,0.017,250,Velocidad 1
0.09917,0.019,248,Velocidad 1
0.1,0.019,248,Velocidad 1
0.10083,0.017,248,Velocidad 1
0.10167,0.02,249,Velocidad 1
0.1025,0.019,249,Velocidad 1
0.10333,0.02,248,Velocidad 1
0.10417,0.021,247,Velocidad 1
0.105,0.018,244,Velocidad 1
0.10583,0.02,242,Velocidad 1
0.10667,0.021,243,Velocidad 1
0.1075,0.021,243,Velocidad 1
0.10833,0.021,241,Velocidad 1
0.10917,0.021,237,Velocidad 1
0.11,0.019,233,Velocidad 1
0.11083,0.027,213,Velocidad 1
0.11167,0.023,-19,Velocidad 1
